HOU,Texans,Houston,AFCS
LV,Raiders,Las Vegas,AFCW
MIA,Dolphins,Miami,AFCE
ATL,Falcons,Atlanta,NFCS
WAS,Redskins,Washington,NFCE
SF,49ers,San Francisco,NFCW
NO,Saints,New Orleans,NFCS
SD,Chargers,San Diego,AFCW
DAL,Cowboys,Dallas,NFCE
DET,Lions,Detroit,NFCN
TEN,Titans,Tennessee,AFCS
SEA,Seahawks,Seattle,NFCW
KC,Chiefs,Kansas City,AFCW
CLE,Browns,Cleveland,AFCN
PHI,Eagles,Philadelphia,NFCE
MIN,Vikings,Minnesota,NFCN
LA,Rams,Los Angeles,NFCW
DEN,Broncos,Denver,AFCW
BUF,Bills,Buffalo,AFCE
BAL,Ravens,Baltimore,AFCN
NE,Patriots,New England,AFCE
TB,Buccaneers,Tampa Bay,NFCS
CHI,Bears,Chicago,NFCN
ARI,Cardinals,Arizona,NFCW
NYJ,Jets,New York,AFCE
GB,Packers,Green Bay,NFCN
PIT,Steelers,Pittsburgh,AFCN
NYG,Giants,New York,NFCE
CAR,Panthers,Carolina,NFCS
CIN,Bengals,Cincinnati,AFCN
JAX,Jaguars,Jacksonville,AFCS
IND,Colts,Indianapolis,AFCS




